300 54300
0 1 483
0 3 855
0 4 416
0 7 657
0 9 302
0 11 263
0 12 605
0 16 30
0 18 913
0 20 902
0 24 657
0 26 768
0 32 641
0 33 345
0 35 384
0 36 217
0 37 266
0 39 665
0 41 644
0 43 751
0 44 404
0 45 330
0 46 415
0 47 746
0 48 341
0 49 500
0 50 865
0 51 703
0 52 140
0 53 192
0 54 923
0 55 234
0 56 16
0 60 655
0 61 448
0 62 982
0 64 801
0 66 769
0 67 470
0 73 324
0 75 377
0 76 934
0 80 515
0 81 477
0 82 119
0 83 745
0 84 353
0 85 504
0 86 936
0 87 996
0 88 849
0 91 867
0 94 701
0 95 563
0 98 181
0 99 420
0 100 533
0 102 374
0 103 544
0 104 778
0 105 33
0 106 748
0 108 475
0 110 824
0 111 846
0 112 534
0 114 47
0 115 315
0 116 479
0 117 270
0 118 645
0 120 22
0 122 652
0 123 400
0 124 738
0 127 888
0 128 67
0 129 231
0 131 600
0 132 676
0 134 25
0 135 63
0 137 558
0 140 452
0 141 396
0 143 495
0 144 388
0 146 703
0 147 822
0 148 462
0 149 187
0 150 76
0 151 746
0 153 351
0 154 376
0 155 758
0 159 479
0 160 392
0 161 336
0 162 59
0 163 773
0 165 592
0 166 146
0 167 442
0 168 333
0 170 984
0 173 838
0 174 295
0 175 846
0 176 148
0 177 428
0 178 916
0 179 91
0 181 912
0 182 920
0 185 0
0 186 651
0 188 744
0 190 413
0 193 951
0 194 335
0 196 127
0 198 251
0 199 117
0 200 636
0 201 380
0 205 773
0 206 846
0 207 995
0 208 928
0 209 749
0 211 772
0 216 146
0 217 597
0 218 622
0 221 559
0 222 471
0 223 450
0 225 265
0 228 596
0 229 195
0 234 752
0 235 475
0 238 359
0 239 149
0 240 158
0 241 904
0 242 397
0 243 745
0 244 185
0 249 271
0 251 460
0 252 2
0 254 311
0 256 960
0 259 167
0 260 77
0 261 495
0 262 623
0 263 963
0 265 839
0 270 785
0 272 185
0 273 507
0 274 156
0 276 672
0 277 489
0 279 632
0 281 756
0 283 238
0 285 194
0 287 218
0 291 714
0 293 274
0 294 159
0 295 915
0 296 525
0 297 114
0 298 960
1 0 165
1 1 226
1 3 476
1 4 229
1 6 870
1 7 406
1 8 415
1 11 654
1 12 838
1 14 277
1 16 184
1 18 421
1 19 584
1 21 634
1 24 724
1 26 835
1 27 32
1 28 732
1 29 891
1 30 744
1 32 856
1 34 631
1 35 500
1 36 564
1 39 253
1 40 171
