100 2100
0 0 839
0 14 564
0 17 643
0 19 255
0 20 612
0 25 944
0 27 857
0 32 951
0 35 988
0 38 446
0 40 279
0 52 365
0 53 977
0 57 846
0 58 717
0 64 356
0 74 910
0 77 626
0 81 870
0 96 53
0 98 939
1 5 400
1 9 998
1 17 354
1 18 556
1 20 203
1 28 132
1 30 423
1 43 214
1 46 773
1 48 662
1 49 379
1 56 384
1 58 989
1 59 762
1 61 463
1 66 320
1 69 133
1 74 933
1 78 606
1 83 782
1 99 605
2 3 318
2 10 324
2 12 333
2 17 736
2 19 476
2 21 131
2 23 764
2 26 96
2 28 504
2 29 875
2 34 934
2 38 12
2 39 806
2 42 676
2 47 675
2 48 938
2 56 221
2 61 956
2 70 842
2 85 310
2 91 338
2 92 954
2 96 536
3 4 631
3 8 533
3 18 654
3 20 131
3 23 314
3 25 518
3 29 914
3 33 537
3 37 90
3 41 268
3 42 593
3 47 364
3 54 580
3 59 776
3 60 848
3 63 789
3 64 463
3 65 550
3 71 391
3 72 829
3 73 6
3 75 158
3 86 414
3 99 160
4 3 878
4 9 207
4 18 29
4 28 649
4 36 899
4 37 329
4 43 234
4 44 209
4 48 714
4 50 336
4 57 650
4 66 148
4 73 644
4 74 336
4 83 624
4 86 72
4 89 28
4 91 430
4 94 742
4 99 939
5 0 569
5 5 836
5 8 439
5 11 64
5 12 923
5 18 911
5 19 288
5 26 179
5 30 628
5 32 629
5 43 625
5 51 678
5 52 713
5 53 272
5 62 140
5 66 745
5 69 894
5 76 884
5 77 199
5 79 161
5 86 612
5 90 230
5 92 42
5 95 748
5 99 917
6 7 168
6 8 11
6 9 439
6 22 55
6 24 556
6 26 88
6 28 578
6 41 372
6 44 27
6 50 839
6 55 839
6 64 44
6 65 683
6 66 260
6 72 521
6 75 51
6 87 357
7 5 714
7 9 555
7 12 864
7 25 527
7 26 818
7 33 758
7 34 933
7 35 297
7 36 883
7 37 6
7 38 444
7 45 140
7 59 292
7 64 208
7 75 475
7 76 686
7 78 201
7 81 74
7 82 753
7 85 564
7 89 250
7 94 696
7 96 188
8 7 802
8 14 331
8 15 918
8 18 599
8 24 745
8 26 573
8 27 804
8 32 488
8 36 768
8 38 396
8 42 6
8 43 254
8 54 847
8 61 232
8 72 819
8 74 162
8 77 54
8 93 940
8 95 540
9 5 162
9 8 121
9 10 346
9 15 389
9 22 720
9 25 983
9 31 598
9 38 251
9 58 357
9 65 535
9 66 939
9 68 191
9 79 302
9 83 839
9 85 112
9 87 78
9 89 57
9 91 771
9 98 856
10 4 797
10 5 21
10 8 789
10 17 862
10 18 587
10 21 663
10 28 137
10 31 79
10 33 307
10 41 817
10 45 208
10 58 166
10 61 601
10 63 70
10 64 149
10 70 885
10 73 594
10 85 331
10 95 641
11 2 80
11 7 160
11 8 25
11 16 394
11 20 468
11 22 587
11 25 831
11 33 763
11 34 438
11 35 677
11 36 84
11 40 692
11 42 103
11 46 16
11 50 958
11 51 722
11 58 134
11 59 244
11 62 805
11 64 179
11 68 593
11 74 254
11 75 938
11 85 692
11 92 148
11 97 19
12 1 535
12 4 381
12 12 104
12 18 344
12 23 479
12 26 564
12 30 591
12 31 644
12 32 553
12 48 743
12 49 230
12 56 589
12 60 58
12 68 989
12 80 941
12 83 629
12 85 689
12 87 156
12 89 170
12 94 188
13 0 638
13 7 613
13 11 747
13 18 173
13 21 158
13 26 567
13 30 959
13 38 907
13 43 254
13 49 697
13 50 181
13 56 247
13 60 202
13 63 802
13 68 131
13 71 31
13 72 923
13 82 615
13 84 29
13 88 655
13 92 376
14 7 900
14 9 966
14 11 202
14 17 982
14 18 52
14 19 607
14 21 230
14 22 60
14 47 625
14 48 513
14 49 949
14 53 854
14 62 735
14 70 103
14 73 98
14 80 760
14 82 411
14 84 195
14 91 146
14 92 587
14 96 941
15 4 832
15 6 163
15 10 216
15 24 186
15 26 206
15 27 444
15 35 462
15 36 90
15 37 865
15 45 21
15 48 269
15 51 307
15 53 807
15 56 242
15 59 647
15 62 475
15 64 302
15 65 570
15 66 687
15 80 521
15 84 150
15 86 105
15 91 567
15 92 376
15 96 47
16 11 912
16 12 846
16 15 89
16 23 66
16 29 815
16 32 831
16 33 453
16 37 398
16 47 290
16 56 678
16 58 839
16 60 674
16 61 997
16 66 689
16 74 356
16 82 819
16 88 946
16 93 170
16 98 565
17 5 321
17 6 757
17 9 158
17 12 759
17 13 709
17 23 270
17 31 625
17 32 508
17 34 43
17 41 777
17 49 521
17 50 803
17 51 667
17 82 552
17 88 867
17 89 622
17 96 813
18 0 915
18 1 319
18 2 307
18 6 804
18 15 91
18 16 59
18 20 708
18 22 269
18 26 444
18 28 172
18 30 269
18 37 445
18 38 563
18 41 121
18 48 347
18 51 236
18 55 322
18 65 409
18 67 558
18 69 950
18 70 783
18 72 909
18 82 106
18 86 127
18 88 55
18 93 580
19 7 481
19 8 629
19 9 881
19 12 20
19 18 353
19 23 573
19 35 346
19 41 338
19 44 589
19 45 974
19 46 366
19 50 993
19 51 446
19 53 615
19 66 107
19 78 279
19 80 936
19 82 888
19 85 755
19 89 90
20 1 553
20 10 115
20 15 475
20 16 38
20 17 477
20 20 825
20 23 987
20 30 807
20 31 320
20 32 135
20 40 268
20 48 809
20 52 310
20 55 250
20 56 802
20 60 811
20 69 213
20 71 848
20 72 636
20 74 640
20 85 701
20 86 679
20 92 132
20 93 922
20 95 840
21 0 858
21 9 535
21 16 507
21 23 273
21 24 340
21 32 778
21 38 402
21 39 457
21 46 988
21 49 990
21 51 80
21 54 528
21 57 971
21 65 586
21 74 566
21 82 694
21 94 669
22 0 584
22 2 436
22 4 449
22 5 581
22 8 626
22 11 235
22 12 495
22 16 273
22 22 998
22 23 750
22 26 675
22 31 418
22 35 962
22 44 89
22 57 983
22 62 159
22 64 602
22 72 217
22 81 625
22 89 787
22 93 166
22 95 133
22 98 735
23 0 570
23 1 203
23 5 890
23 14 49
23 21 233
23 34 351
23 36 870
23 38 525
23 39 429
23 40 271
23 41 479
23 43 682
23 46 305
23 48 534
23 56 516
23 57 898
23 58 797
23 62 15
23 65 449
23 72 231
23 78 339
23 85 807
23 87 349
23 89 60
23 96 560
23 99 36
24 1 540
24 2 842
24 3 180
24 4 897
24 6 526
24 18 317
24 20 164
24 23 856
24 31 287
24 33 799
24 35 581
24 36 565
24 39 111
24 46 728
24 55 651
24 56 2
24 69 124
24 73 591
24 83 251
24 92 830
24 94 54
24 96 343
24 98 893
25 5 848
25 10 328
25 14 491
25 17 436
25 27 972
25 32 315
25 34 842
25 36 937
25 41 374
25 48 212
25 50 902
25 51 769
25 52 28
25 62 628
25 64 847
25 65 412
25 67 839
25 78 334
25 81 552
25 86 221
25 92 691
25 94 373
26 5 767
26 11 930
26 16 410
26 20 310
26 22 721
26 27 800
26 29 720
26 32 880
26 42 210
26 44 531
26 50 923
26 58 384
26 60 557
26 63 223
26 64 306
26 67 206
26 68 239
26 70 149
26 72 833
26 73 505
26 75 998
26 80 916
26 85 718
26 86 192
26 89 163
26 95 563
26 98 863
26 99 389
27 0 912
27 7 670
27 8 964
27 14 358
27 25 308
27 27 579
27 28 103
27 41 515
27 46 973
27 49 501
27 70 358
27 73 609
27 82 480
27 83 973
27 89 788
27 91 494
27 92 943
27 98 365
28 12 654
28 17 550
28 19 643
28 22 65
28 34 642
28 36 387
28 38 92
28 43 982
28 44 567
28 48 123
28 49 459
28 53 757
28 58 174
28 61 81
28 63 188
28 68 94
28 70 116
28 71 769
28 73 532
28 77 820
28 79 468
28 82 833
28 85 51
28 93 208
28 95 522
29 0 440
29 1 502
29 3 314
29 6 492
29 9 42
29 18 859
29 20 44
29 21 168
29 24 393
