400 32400
0 12 334
0 16 826
0 20 694
0 34 845
0 35 935
0 36 119
0 37 838
0 38 548
0 51 702
0 52 194
0 62 400
0 68 219
0 73 847
0 78 445
0 83 467
0 91 628
0 94 929
0 95 73
0 102 864
0 108 639
0 113 748
0 114 678
0 118 453
0 123 46
0 128 279
0 136 698
0 140 13
0 144 963
0 145 500
0 147 252
0 154 381
0 157 375
0 159 902
0 164 531
0 168 133
0 171 196
0 173 115
0 180 80
0 182 485
0 184 722
0 186 848
0 188 589
0 204 729
0 207 855
0 211 592
0 217 114
0 218 65
0 224 936
0 243 906
0 247 545
0 264 982
0 269 748
0 270 544
0 271 477
0 272 44
0 276 594
0 280 817
0 284 970
0 293 319
0 295 321
0 297 185
0 299 115
0 307 726
0 308 275
0 316 554
0 333 153
0 335 363
0 337 462
0 346 299
0 351 480
0 354 940
0 357 415
0 377 356
0 378 758
0 389 963
0 390 56
0 397 835
0 399 573
1 10 173
1 12 334
1 24 694
1 25 323
1 26 511
1 31 393
1 36 428
1 51 497
1 52 619
1 58 65
1 59 13
1 65 342
1 66 949
1 82 426
1 84 118
1 86 580
1 87 386
1 90 957
1 96 882
1 100 479
1 101 928
1 108 930
1 111 371
1 113 564
1 135 771
1 138 410
1 140 245
1 155 291
1 157 3
1 158 629
1 161 211
1 175 139
1 177 242
1 197 359
1 219 862
1 226 174
1 227 157
1 231 938
1 233 534
1 234 369
1 237 40
1 241 141
1 242 114
1 243 799
1 246 513
1 252 101
1 255 490
1 258 771
1 261 658
1 262 541
1 263 444
1 266 18
1 272 112
1 273 615
1 277 880
1 280 895
1 281 304
1 284 54
1 290 612
1 298 705
1 303 774
1 305 603
1 314 746
1 317 928
1 333 821
1 339 182
1 344 575
1 347 268
1 348 348
1 350 622
1 356 188
1 362 155
1 368 213
1 372 710
1 376 494
1 377 454
1 382 475
1 386 729
1 389 372
1 390 193
1 398 182
2 3 619
2 13 417
2 14 997
2 19 681
2 27 740
2 29 489
2 32 158
2 33 409
2 34 198
2 36 879
2 39 639
2 42 294
2 48 701
2 49 180
2 51 304
2 53 828
2 54 635
2 55 823
2 57 161
2 59 413
2 73 753
2 78 115
2 93 570
2 95 874
2 97 385
2 98 347
2 108 473
2 110 907
2 118 293
2 119 434
2 123 505
