100 8100
0 0 175
0 1 914
0 2 574
0 4 313
0 5 573
0 7 850
0 9 593
0 10 152
0 11 360
0 12 58
0 14 205
0 16 945
0 17 422
0 18 659
0 19 671
0 20 825
0 23 762
0 24 39
0 25 511
0 26 595
0 28 177
0 29 191
0 30 838
0 31 738
0 33 947
0 34 912
0 35 512
0 36 16
0 37 917
0 38 279
0 39 506
0 40 0
0 41 908
0 42 418
0 43 251
0 46 470
0 48 3
0 49 467
0 51 388
0 52 288
0 53 263
0 54 633
0 55 166
0 56 184
0 57 873
0 58 790
0 59 165
0 60 199
0 62 302
0 65 153
0 67 972
0 68 445
0 69 157
0 70 311
0 71 272
0 72 907
0 76 425
0 77 642
0 78 241
0 79 947
0 80 882
0 81 713
0 82 644
0 84 323
0 85 668
0 86 325
0 87 416
0 88 409
0 89 22
0 90 105
0 91 912
0 92 793
0 93 636
0 94 358
0 96 536
0 97 930
0 99 363
1 0 412
1 3 20
1 4 760
1 5 877
1 6 356
1 7 393
1 10 116
1 12 932
1 13 203
1 14 674
1 15 15
1 17 930
1 18 356
1 19 469
1 20 872
1 21 778
1 24 310
1 25 107
1 26 535
1 28 629
1 29 327
1 30 204
1 33 645
1 34 347
1 35 837
1 36 419
1 37 359
1 38 918
1 39 195
1 40 221
1 41 220
1 42 273
1 43 458
1 44 52
1 45 450
1 46 774
1 47 39
1 48 809
1 51 450
1 53 236
1 54 598
1 58 402
1 60 517
1 61 838
1 62 953
1 63 544
1 64 986
1 65 941
1 66 386
1 67 952
1 68 516
1 69 836
1 70 134
1 71 468
1 72 644
1 74 293
1 77 873
1 78 466
1 79 733
1 80 39
1 81 823
1 82 38
1 83 980
1 84 428
1 85 356
1 86 483
1 88 324
1 89 92
1 90 925
1 91 694
1 92 188
1 93 769
1 95 303
1 96 840
1 98 147
1 99 619
2 0 406
2 1 628
2 2 179
2 3 87
2 4 70
2 5 144
2 6 17
2 7 322
2 8 762
2 10 172
2 12 635
2 13 346
2 14 465
2 15 292
2 16 237
2 17 922
2 18 257
2 20 362
2 21 189
2 22 894
2 23 511
2 24 588
2 25 965
2 26 515
2 27 455
2 28 661
2 29 306
2 31 312
2 33 385
2 34 404
2 35 565
2 37 775
2 38 556
2 39 131
2 40 878
2 41 609
2 43 569
2 44 214
2 46 78
2 47 265
2 48 464
2 49 888
2 50 308
2 51 914
2 52 675
2 53 250
2 54 869
2 55 761
2 56 901
2 57 878
2 59 892
2 61 626
2 62 396
2 63 326
2 64 130
2 65 636
2 66 694
2 67 973
2 68 748
2 70 768
2 71 457
2 73 85
2 74 339
2 75 157
2 76 159
2 77 793
2 78 824
2 80 38
2 81 37
2 82 543
2 84 892
2 86 619
2 88 221
2 89 298
2 90 330
2 91 752
2 92 104
2 93 899
2 94 730
2 95 65
2 96 300
2 97 696
2 99 776
3 0 178
3 1 814
3 2 249
3 3 669
3 4 902
3 7 824
3 10 306
3 11 691
3 12 625
3 13 720
3 14 399
3 15 826
3 17 869
3 18 945
3 19 780
3 20 167
3 21 756
3 23 86
3 24 223
3 25 930
3 27 840
3 28 602
3 31 838
3 32 265
3 33 619
3 34 353
3 35 431
3 36 544
3 37 983
3 38 988
3 40 408
3 41 991
3 42 325
3 43 818
3 44 750
3 45 958
3 46 119
3 51 354
3 52 645
3 53 29
3 54 845
3 55 581
3 58 614
3 59 672
3 60 762
3 61 845
3 62 68
3 64 473
3 65 597
3 67 509
3 68 565
3 70 669
3 71 246
3 72 896
3 73 439
3 74 78
3 75 173
3 76 439
3 77 106
3 78 676
3 82 711
3 83 366
3 84 654
3 85 173
3 86 924
3 87 144
3 88 739
3 90 971
3 91 461
3 92 541
3 94 710
3 95 19
3 99 596
4 0 370
4 1 228
4 2 968
4 3 893
4 5 369
4 6 860
4 7 210
4 8 77
4 9 426
4 10 615
4 11 436
4 12 99
4 13 632
4 15 689
4 16 355
4 17 77
4 18 984
4 20 747
4 21 497
4 22 980
4 23 897
4 25 689
4 26 386
4 27 608
4 28 948
4 29 493
4 30 719
4 31 520
4 33 259
4 34 90
4 35 482
4 37 949
4 38 959
4 40 771
4 41 962
4 42 714
4 43 464
4 44 471
4 45 199
4 46 742
4 47 3
4 49 352
4 50 619
4 52 227
4 53 918
4 55 10
4 56 289
4 57 723
4 58 617
4 59 255
4 60 143
4 61 234
4 62 173
4 63 76
4 64 500
4 65 7
4 66 776
4 68 820
4 69 609
4 70 606
4 72 302
4 73 843
4 76 2
4 77 81
4 78 427
4 80 688
4 81 510
4 82 155
4 83 10
4 84 975
4 85 967
4 87 52
4 88 183
4 89 948
4 90 814
4 91 361
4 92 11
4 95 122
4 96 629
4 98 104
4 99 928
5 0 736
5 1 666
5 2 45
5 3 483
5 4 327
5 7 856
5 8 770
5 9 226
5 10 192
5 11 735
5 12 423
5 13 805
5 14 207
5 15 366
5 16 708
5 17 667
5 21 616
5 22 26
5 23 31
5 24 830
5 25 207
5 26 7
5 27 88
5 28 306
5 29 941
5 30 107
5 32 876
5 33 301
5 35 228
5 36 375
5 37 488
5 38 442
5 40 608
5 41 291
5 42 687
5 43 770
5 44 485
5 45 566
5 46 659
5 47 443
5 50 990
5 51 4
5 52 167
5 53 891
5 54 799
5 55 363
5 56 193
5 57 39
5 58 270
5 59 623
5 60 948
5 61 859
5 62 884
5 64 69
5 65 743
5 66 463
5 67 187
5 69 887
5 70 833
5 71 19
5 72 12
5 73 612
5 74 464
5 75 627
5 76 997
5 77 470
5 78 235
5 79 422
5 80 469
5 81 71
5 83 432
5 85 854
5 86 897
5 87 999
5 88 799
5 90 488
5 92 619
5 93 496
5 94 498
5 96 197
5 97 920
5 98 662
6 0 121
6 1 219
6 3 658
6 4 331
6 5 555
6 6 979
6 7 248
6 9 594
6 10 872
