400 400
0 184 292
3 89 594
3 398 701
4 270 497
4 395 866
5 364 746
6 305 776
8 87 108
11 261 505
12 33 159
12 84 45
13 318 141
20 171 413
21 108 191
21 141 731
22 165 245
22 285 975
22 354 198
23 45 236
23 350 957
24 207 914
24 211 921
25 187 48
26 174 391
26 331 738
27 115 64
27 207 8
29 264 855
29 278 348
29 343 489
30 83 672
30 253 443
31 106 658
31 169 346
33 121 520
33 198 673
33 250 802
34 62 602
34 168 844
35 256 16
37 376 599
38 120 367
38 282 543
39 143 686
41 223 122
43 18 166
46 289 497
47 235 673
49 1 831
49 36 364
50 152 453
51 1 935
51 47 456
53 150 101
53 297 74
54 102 811
55 296 18
56 66 81
56 328 417
60 286 274
62 217 651
62 259 528
62 397 402
64 34 622
64 104 581
65 102 105
66 366 586
67 90 714
68 67 459
69 70 240
69 270 139
69 291 555
70 310 816
70 393 355
72 31 237
72 46 525
72 114 440
73 26 569
73 177 8
73 392 122
74 362 932
74 364 915
75 67 836
76 4 626
76 133 191
77 84 211
78 102 998
79 116 827
80 352 17
81 34 776
81 121 281
84 16 432
87 196 980
87 348 894
88 82 789
88 232 269
89 79 204
89 131 62
89 313 758
90 21 231
90 251 893
90 323 952
90 342 202
94 88 93
96 77 649
96 122 595
99 191 972
100 76 589
101 132 968
103 248 660
103 332 119
104 136 148
104 293 932
105 200 528
106 35 444
106 195 908
107 87 351
107 309 247
107 325 392
107 335 472
108 66 672
110 250 591
112 200 619
113 68 104
113 287 237
119 7 660
119 263 197
122 29 882
122 45 856
123 240 729
123 268 136
126 190 156
126 262 932
126 312 38
126 379 452
127 141 907
128 98 654
129 58 338
129 355 482
130 298 242
133 117 963
134 132 157
134 198 227
134 211 826
134 246 111
135 306 681
135 320 169
139 261 708
140 166 357
140 249 858
140 327 205
141 391 114
143 341 69
144 335 654
144 389 570
145 48 89
148 302 323
149 36 786
154 241 440
155 152 374
155 163 557
157 12 217
158 251 711
161 321 996
161 339 493
162 266 780
163 289 119
166 110 282
166 341 948
167 226 314
168 95 65
168 336 882
169 38 614
169 188 544
170 20 181
170 168 762
172 272 50
173 178 73
175 63 381
175 266 907
176 118 383
176 375 350
178 337 869
179 232 608
179 240 158
180 88 550
180 139 426
180 250 367
180 330 419
181 154 425
181 374 133
181 375 689
184 9 942
184 48 151
185 201 880
185 294 989
186 324 87
188 8 918
188 186 593
189 393 285
190 2 608
190 225 225
191 86 517
191 361 985
192 129 290
192 158 844
192 331 383
192 384 404
193 106 332
194 51 244
195 55 901
196 73 479
196 82 261
196 166 241
198 198 824
199 310 772
200 281 51
202 242 273
205 140 741
205 192 603
206 56 37
207 80 962
208 219 351
213 138 967
214 8 305
214 44 811
214 330 680
214 362 50
216 15 546
216 332 815
218 134 76
219 81 509
220 44 352
220 296 433
222 308 735
223 276 856
223 296 904
225 98 631
225 165 136
225 246 1
225 303 552
226 287 672
228 21 377
228 29 853
229 206 837
229 289 140
231 389 190
232 210 8
232 392 385
233 150 99
234 306 50
235 65 183
236 229 177
236 327 378
238 219 219
239 103 962
239 276 765
241 95 654
241 193 556
242 25 941
244 126 155
244 223 111
245 350 635
246 162 40
246 212 673
247 154 114
248 9 198
248 235 479
249 72 941
249 247 374
252 57 77
254 294 223
256 114 360
257 106 740
259 130 524
261 297 755
262 170 395
263 289 531
265 157 661
266 188 59
268 154 454
268 367 102
269 117 618
269 368 439
270 324 861
271 135 417
274 192 935
274 240 979
274 276 812
276 4 697
276 248 913
278 357 911
279 2 863
280 309 795
281 7 75
282 173 233
282 280 500
282 298 833
283 317 696
285 250 274
285 289 442
285 349 686
286 115 883
286 185 896
287 258 539
287 318 75
289 45 582
292 159 618
294 222 557
296 49 949
298 62 719
298 250 915
300 234 378
301 106 930
301 239 534
302 3 440
302 375 96
303 231 604
303 295 738
304 202 552
304 325 73
306 58 333
307 49 236
308 146 30
308 302 373
310 314 975
310 345 404
311 340 72
312 2 296
313 353 585
314 154 315
314 191 297
314 334 604
314 356 803
315 362 428
316 14 706
316 338 513
316 367 791
318 225 61
318 277 128
319 244 159
320 253 248
320 336 836
320 372 790
321 192 582
321 322 690
323 139 822
324 250 314
326 80 243
327 340 211
328 328 481
329 58 460
330 45 65
330 384 415
330 390 702
331 152 814
332 378 32
333 173 10
335 83 160
335 355 208
335 388 110
338 163 717
339 178 385
339 294 554
340 109 250
341 20 145
341 122 319
343 197 92
345 274 933
346 205 911
347 214 906
348 397 457
350 259 814
351 70 736
355 174 783
357 80 322
358 117 792
359 24 22
360 310 812
364 128 721
364 177 341
366 214 678
366 257 778
369 10 232
370 191 587
370 222 101
374 146 728
376 290 251
378 189 538
378 337 585
379 80 979
380 21 843
380 347 756
381 81 138
381 316 100
384 192 326
385 47 122
385 228 383
385 358 149
387 384 954
