300 18300
0 5 782
0 6 381
0 11 823
0 18 984
0 26 533
0 27 594
0 29 587
0 30 137
0 33 632
0 43 101
0 50 443
0 53 275
0 54 758
0 67 194
0 68 59
0 74 38
0 80 493
0 81 60
0 82 248
0 85 158
0 91 98
0 95 704
0 96 310
0 97 363
0 99 167
0 102 802
0 117 581
0 129 871
0 135 262
0 138 327
0 139 743
0 141 336
0 148 716
0 152 620
0 156 224
0 158 701
0 164 642
0 166 211
0 174 405
0 178 139
0 181 44
0 183 879
0 199 342
0 200 744
0 202 266
0 209 42
0 220 780
0 235 153
0 236 528
0 237 57
0 242 737
0 246 132
0 247 980
0 249 403
0 250 450
0 255 333
0 259 247
0 264 28
0 266 799
0 271 855
0 272 582
0 282 452
0 285 897
0 293 514
0 299 194
1 8 681
1 19 161
1 37 762
1 45 158
1 50 224
1 53 706
1 63 959
1 64 796
1 71 19
1 73 58
1 75 96
1 86 683
1 91 65
1 93 729
1 96 133
1 100 75
1 108 41
1 112 28
1 113 621
1 115 833
1 120 903
1 122 601
1 136 590
1 138 804
1 139 477
1 143 315
1 147 174
1 152 926
1 153 565
1 158 315
1 159 8
1 162 596
1 174 655
1 187 112
1 190 832
1 197 99
1 203 528
1 226 992
1 227 950
1 229 161
1 247 980
1 251 328
1 266 891
1 272 731
1 281 943
1 290 578
1 297 190
1 298 298
2 1 863
2 4 687
2 19 152
2 21 985
2 26 235
2 31 490
2 36 433
2 39 660
2 42 80
2 46 446
2 47 266
2 54 535
2 64 570
2 65 959
2 66 333
2 72 68
2 74 32
2 85 31
2 88 644
2 93 590
2 106 489
2 108 562
2 114 886
2 115 519
2 117 77
2 123 599
2 124 432
2 132 759
2 138 641
2 145 424
2 146 950
2 150 352
2 155 185
2 156 138
2 157 538
2 158 427
2 162 760
2 168 938
2 171 543
2 173 577
2 174 279
2 181 142
2 183 279
2 187 491
2 191 172
2 194 513
2 203 166
2 208 225
2 209 369
2 212 451
2 216 8
2 217 562
2 228 158
2 233 883
2 247 701
2 249 910
2 257 261
2 268 350
2 269 288
2 270 631
2 271 627
2 289 986
2 290 877
2 291 924
2 292 928
2 295 705
3 9 729
3 25 363
3 34 718
3 35 947
3 38 793
3 47 280
3 50 285
3 51 759
3 61 718
3 65 559
3 69 954
3 70 659
3 79 394
3 80 284
3 93 467
3 101 212
3 107 991
3 114 364
3 122 577
3 125 841
3 126 687
3 136 19
3 138 74
3 141 898
3 143 973
3 145 143
3 147 533
3 156 62
3 160 240
3 171 201
3 173 592
3 189 562
3 194 125
3 196 839
3 198 250
3 203 33
3 211 303
3 216 973
3 218 981
3 222 85
3 227 248
3 234 748
3 240 308
3 252 687
3 257 986
3 265 892
3 266 882
3 273 37
3 274 564
3 280 557
3 287 225
3 288 532
3 289 481
3 290 848
3 293 425
3 294 789
3 295 200
3 296 774
4 2 589
4 9 430
4 15 924
4 16 377
4 26 856
4 31 996
4 38 585
4 47 870
4 48 786
4 58 897
4 62 996
4 63 51
4 64 165
4 65 427
4 71 536
4 72 812
4 77 35
4 106 403
4 107 567
4 110 283
4 112 275
4 123 251
4 129 62
4 132 870
4 139 340
4 148 841
4 151 792
4 162 201
4 171 685
4 183 146
4 184 582
4 196 817
4 197 790
4 200 590
4 201 195
4 204 504
4 215 928
4 217 655
4 218 659
4 219 204
4 232 1
4 233 431
4 237 404
4 240 501
4 248 510
4 249 213
4 259 200
4 261 355
4 262 518
4 265 581
4 272 10
4 273 471
4 275 395
4 285 802
4 287 738
4 288 730
4 297 193
5 3 498
5 13 695
5 15 911
5 16 2
5 17 925
5 22 825
5 32 370
5 33 21
5 35 350
5 37 246
5 46 601
5 47 713
5 53 757
5 56 929
5 59 319
5 66 76
5 85 702
5 87 734
5 97 770
5 101 586
5 104 589
5 105 454
5 110 654
5 111 58
5 119 678
5 126 913
5 127 796
5 132 780
5 156 984
5 160 810
5 163 311
5 165 776
5 166 973
5 172 144
5 173 26
5 174 590
5 176 951
5 178 144
5 180 370
5 200 597
5 204 369
5 208 944
5 209 752
5 210 3
5 213 745
5 215 245
5 219 426
5 226 600
5 227 999
5 228 198
5 241 400
5 259 62
5 274 392
5 278 115
5 279 679
5 280 566
5 285 978
5 286 535
5 288 934
5 289 199
6 12 296
