300 300
0 85 577
0 149 614
1 264 760
2 217 483
4 3 133
4 245 629
5 140 106
5 241 514
6 10 413
6 201 119
8 88 682
9 109 842
10 242 672
10 280 717
11 0 123
11 93 325
14 76 387
15 299 92
17 47 457
18 122 33
19 13 385
19 121 306
20 18 530
20 27 524
20 229 456
21 16 374
21 207 555
22 78 859
22 255 25
25 102 458
26 20 791
31 41 720
32 77 138
32 103 273
32 209 815
34 160 420
34 250 88
35 265 891
36 105 22
36 106 693
37 232 854
39 39 464
40 19 529
40 91 163
40 138 890
41 104 543
41 272 525
42 101 361
43 268 625
45 237 257
48 24 238
48 91 285
50 7 223
52 126 858
53 250 913
54 64 176
54 88 231
54 293 526
55 61 665
57 44 678
58 158 829
60 43 48
60 137 20
60 245 835
61 14 557
61 56 648
61 69 324
61 71 555
62 9 231
62 198 368
62 239 569
63 30 412
64 257 224
66 182 550
70 254 335
72 2 964
72 259 680
73 187 841
73 190 100
73 202 231
73 228 554
74 189 38
75 218 371
76 155 510
76 275 220
77 79 937
78 74 498
78 85 17
79 190 613
79 214 945
80 124 811
81 0 789
81 168 893
81 272 18
82 177 172
83 39 917
83 152 798
83 287 393
84 197 747
84 217 892
84 295 762
86 239 84
86 288 409
87 162 632
87 274 534
89 242 197
90 63 169
91 63 741
92 118 35
94 201 399
96 3 927
96 119 812
97 263 284
98 181 608
100 210 117
102 196 385
102 223 73
103 26 230
105 234 797
105 246 37
106 0 36
106 19 379
107 270 276
107 272 872
108 160 262
110 165 268
110 184 872
110 229 817
110 241 301
112 291 614
113 150 430
114 206 909
115 5 632
115 94 182
115 100 868
117 51 537
117 121 238
119 48 623
119 159 767
119 251 188
120 271 699
121 25 580
123 1 572
128 294 643
130 183 907
131 49 385
132 207 222
133 32 329
133 203 569
135 248 761
136 221 650
137 77 897
137 219 887
138 272 131
139 261 406
140 58 208
140 116 932
140 121 912
140 266 926
143 73 847
143 177 594
147 201 417
147 202 104
147 262 437
147 284 607
149 143 474
149 221 462
150 289 888
153 132 757
153 148 215
154 2 471
154 17 832
155 108 17
155 230 920
157 145 322
157 153 551
157 177 637
158 1 169
158 183 69
159 144 233
159 160 598
161 182 747
163 109 397
163 129 330
163 254 435
165 107 960
166 161 628
167 52 64
171 262 21
172 37 790
173 139 589
174 224 779
181 295 485
182 118 878
182 241 481
182 298 262
183 128 484
183 132 336
183 227 567
187 67 471
187 106 323
187 230 150
187 297 149
189 14 630
189 20 842
189 125 863
190 65 359
190 70 600
190 203 410
191 152 624
193 32 777
193 187 836
194 72 596
194 210 466
196 61 377
196 97 836
199 246 238
200 141 262
202 173 362
203 106 969
204 122 192
204 158 228
208 143 707
208 231 921
208 251 952
211 145 967
211 154 325
212 237 838
214 160 424
214 241 510
215 5 453
215 249 640
216 66 999
216 202 785
216 293 416
217 136 450
217 172 389
219 179 11
219 293 295
220 1 901
220 218 859
220 265 639
224 142 238
224 190 649
225 176 570
226 30 191
226 80 567
226 143 839
227 93 130
227 168 522
227 222 921
228 166 114
228 237 375
229 223 595
229 233 70
230 9 815
230 153 260
231 94 391
231 99 513
237 37 421
238 26 28
239 27 679
240 68 7
240 242 294
241 228 231
241 246 317
242 234 457
243 75 711
245 3 285
245 79 850
246 13 341
246 154 34
246 214 104
246 265 91
248 93 67
248 275 806
249 54 452
250 153 229
252 40 537
252 296 421
254 51 419
254 147 628
254 167 575
255 159 176
256 254 241
258 149 281
259 263 165
263 271 82
264 278 358
267 299 850
268 22 180
269 46 328
271 130 921
271 279 649
273 237 395
273 291 535
274 15 25
274 37 387
275 102 103
275 265 863
