200 8200
0 1 462
0 3 835
0 5 879
0 15 66
0 18 468
0 21 507
0 22 71
0 24 602
0 38 213
0 40 358
0 41 853
0 44 769
0 48 336
0 49 755
0 51 238
0 58 376
0 62 117
0 72 254
0 74 318
0 76 99
0 77 618
0 82 574
0 95 98
0 96 994
0 101 544
0 106 550
0 115 339
0 116 453
0 117 94
0 119 634
0 124 38
0 125 185
0 128 925
0 131 589
0 134 573
0 147 283
0 162 756
0 171 388
0 173 211
0 186 162
1 10 950
1 12 74
1 14 516
1 15 719
1 16 683
1 19 994
1 21 5
1 28 49
1 33 60
1 49 167
1 50 639
1 51 202
1 53 567
1 54 203
1 62 569
1 76 164
1 78 689
1 84 973
1 85 328
1 87 536
1 93 423
1 101 64
1 104 234
1 111 786
1 113 518
1 119 26
1 122 978
1 123 137
1 129 40
1 131 307
1 132 284
1 136 47
1 157 649
1 158 678
1 160 990
1 170 70
1 174 941
1 186 712
1 187 67
1 188 578
1 190 346
1 198 494
2 5 315
2 15 108
2 19 102
2 32 746
2 37 590
2 39 904
2 40 267
2 53 398
2 59 704
2 64 525
2 66 748
2 67 64
2 70 854
2 81 484
2 83 803
2 88 163
2 91 312
2 93 303
2 97 304
2 102 921
2 108 780
2 114 388
2 121 272
2 123 135
2 131 651
2 135 579
2 136 247
2 138 262
2 141 483
2 147 743
2 150 837
2 157 53
2 158 305
2 169 927
2 171 742
2 177 339
2 178 395
2 181 34
2 185 770
2 197 447
3 0 688
3 2 960
3 6 732
3 10 974
3 13 970
3 19 535
3 22 167
3 23 14
3 27 635
3 35 240
3 41 954
3 53 885
3 58 233
3 59 615
3 91 210
3 94 776
3 97 185
3 98 565
3 104 894
3 106 2
3 109 940
3 110 90
3 122 812
3 125 784
3 127 346
3 136 725
3 139 150
3 142 233
3 149 413
3 151 228
3 153 46
3 160 816
3 162 78
3 166 300
3 169 113
3 175 655
3 179 508
3 183 975
3 191 860
3 194 710
3 199 932
4 1 262
4 5 567
4 12 506
4 16 812
4 18 310
4 28 759
4 32 941
4 34 555
4 35 881
4 45 553
4 48 205
4 51 177
4 59 733
4 63 840
4 65 318
4 71 613
4 73 977
4 74 611
4 84 229
4 86 855
4 87 251
4 93 153
4 95 817
4 96 374
4 97 405
4 99 872
4 100 115
4 101 102
4 108 865
4 115 888
4 117 195
4 121 4
4 140 745
4 144 848
4 152 373
4 155 348
4 158 874
4 161 851
4 163 901
4 171 872
4 173 251
4 175 188
4 189 673
4 192 144
5 4 383
5 8 847
5 13 260
5 14 485
5 16 61
5 28 460
5 46 804
5 51 149
5 52 253
5 55 50
5 72 353
5 73 148
5 83 974
5 88 903
5 90 913
5 91 277
5 93 216
5 95 637
5 97 473
5 98 84
5 105 728
5 112 505
5 114 939
5 117 746
5 134 103
5 141 701
5 142 202
5 147 686
5 153 207
5 161 293
5 172 244
5 175 309
5 177 612
5 180 157
5 188 627
5 190 401
5 193 559
5 197 975
5 199 281
6 3 10
6 11 134
6 21 43
6 32 686
6 34 385
6 41 252
6 42 508
6 57 558
6 59 688
6 61 76
6 66 893
6 74 476
6 79 701
6 93 277
6 96 971
6 98 302
6 99 352
6 103 289
6 105 214
6 109 371
6 110 144
6 112 156
6 113 661
6 114 475
6 121 202
6 123 312
6 125 343
6 126 581
6 127 257
6 129 59
6 139 337
6 148 427
6 150 76
6 152 881
6 157 615
6 172 388
6 176 156
6 177 970
6 184 790
6 187 33
6 192 921
6 198 750
6 199 236
7 6 352
7 7 726
7 13 537
7 26 844
7 37 634
7 44 150
7 48 326
7 58 259
7 63 835
7 65 506
7 69 519
7 71 829
7 72 621
7 75 866
7 85 415
7 86 626
7 87 938
7 88 422
7 92 813
7 101 716
7 102 25
7 103 954
7 104 544
7 113 70
7 115 693
7 118 60
7 120 588
7 121 663
7 122 53
7 130 107
7 132 395
7 133 974
7 141 752
7 150 877
7 153 637
7 154 528
7 158 943
7 160 780
7 164 170
7 166 738
7 171 598
7 181 841
7 183 280
7 190 822
7 191 557
8 1 54
8 2 215
8 3 479
8 12 998
8 15 452
8 16 351
8 25 639
8 27 774
8 40 399
8 44 422
8 48 286
8 55 869
8 57 469
8 60 694
8 62 56
8 71 301
8 74 516
8 76 993
8 78 192
8 81 479
8 82 289
8 84 64
8 86 482
8 88 999
8 89 88
8 90 349
8 92 206
8 95 55
8 100 79
8 104 70
8 105 57
8 109 451
8 112 768
8 116 587
8 117 364
8 118 882
8 119 949
8 124 352
8 126 5
8 130 251
8 135 956
8 136 412
8 139 394
8 142 586
8 147 839
8 155 581
8 158 824
8 169 713
8 178 459
8 194 228
8 195 911
9 2 454
9 13 152
9 15 3
9 18 41
9 24 532
9 26 622
9 34 338
9 41 791
9 44 493
9 50 800
9 52 274
9 62 812
9 65 114
9 68 824
9 71 773
9 73 212
9 81 900
9 82 79
9 84 502
9 90 148
9 92 243
9 96 828
9 99 827
9 102 653
9 111 835
9 114 985
9 119 587
9 128 746
9 131 340
9 134 56
9 137 705
9 144 124
