500 100500
0 3 81
0 4 648
0 9 684
0 10 923
0 14 186
0 22 379
0 24 249
0 25 568
0 26 304
0 29 556
0 31 242
0 35 812
0 36 16
0 38 883
0 39 70
0 41 475
0 42 725
0 43 315
0 45 492
0 48 61
0 51 559
0 57 19
0 58 955
0 59 53
0 61 572
0 65 985
0 67 897
0 70 181
0 73 285
0 74 125
0 76 674
0 77 664
0 78 63
0 80 914
0 81 807
0 82 271
0 85 483
0 86 145
0 87 849
0 88 689
0 93 40
0 95 968
0 98 436
0 100 998
0 101 947
0 102 625
0 103 150
0 105 189
0 107 753
0 108 436
0 112 416
0 116 460
0 117 0
0 121 210
0 124 528
0 125 143
0 126 544
0 135 579
0 138 710
0 140 295
0 141 738
0 142 90
0 146 915
0 148 740
0 149 272
0 150 738
0 152 835
0 153 908
0 155 459
0 156 545
0 160 616
0 163 261
0 167 540
0 172 860
0 176 320
0 177 104
0 180 758
0 182 591
0 186 668
0 189 305
0 190 103
0 192 614
0 200 706
0 202 696
0 203 429
0 204 565
0 209 342
0 210 555
0 211 353
0 215 888
0 216 7
0 217 257
0 219 856
0 221 926
0 223 436
0 224 787
0 225 306
0 229 620
0 232 488
0 233 92
0 237 200
0 239 258
0 244 895
0 249 786
0 250 289
0 252 323
0 260 603
0 267 646
0 268 828
0 269 741
0 270 201
0 274 835
0 280 389
0 293 305
0 294 872
0 296 631
0 298 334
0 301 448
0 303 657
0 304 388
0 305 116
0 306 610
0 307 401
0 308 424
0 310 760
0 313 233
0 322 280
0 323 813
0 324 953
0 327 703
0 328 816
0 330 939
0 332 716
0 334 468
0 335 296
0 337 449
0 338 437
0 340 365
0 341 699
0 347 535
0 350 103
0 351 468
0 353 905
0 355 546
0 360 17
0 362 972
0 364 590
0 365 706
0 366 146
0 369 268
0 371 397
0 372 224
0 382 957
0 385 922
0 386 776
0 391 577
0 394 856
0 396 730
0 397 212
0 403 795
0 405 344
0 406 380
0 408 511
0 409 9
0 410 78
0 411 627
0 412 198
0 415 751
0 417 916
0 426 495
0 430 447
0 440 539
