100 100
3 16 698
3 17 269
3 87 41
3 90 832
4 95 67
5 27 985
5 54 580
7 44 196
7 58 477
7 63 48
8 21 134
9 94 999
10 21 924
12 94 909
13 5 382
15 11 404
16 40 406
17 23 549
18 67 325
19 35 764
20 8 262
20 77 7
21 42 383
21 69 882
22 2 694
22 12 314
23 1 863
23 17 693
23 53 163
24 88 769
25 43 282
26 25 818
26 33 450
26 72 67
26 96 594
30 47 218
30 69 413
30 90 850
31 42 116
32 3 894
32 51 251
33 20 364
34 19 31
34 88 549
34 96 706
35 36 150
35 88 391
36 26 991
36 93 388
38 73 173
38 74 459
41 75 476
43 21 569
43 37 50
43 52 98
44 68 427
45 71 445
47 15 90
49 4 967
49 56 920
51 2 386
56 0 86
59 58 651
59 71 548
62 95 523
64 6 47
64 7 621
65 88 360
66 83 106
67 26 427
74 82 263
75 88 880
76 21 737
76 24 84
76 25 871
77 40 409
78 3 86
78 89 510
79 73 199
80 83 447
82 23 281
82 84 915
84 11 286
84 81 15
84 88 285
85 72 650
86 54 939
88 4 393
88 56 603
88 88 215
89 24 463
89 47 99
91 17 813
92 27 587
93 5 870
94 65 19
95 77 87
96 59 924
97 99 699
98 33 882
